year,bowler,economy,bowling_strike_rate,bowling_average,per_matches_played,per_balls_faced,per_out,per_runs,per_extras,F,run_1,out_1,str_rate1,bowl_avg1,eco_1,ext,bf,RFM_Segment_Concat,cluster
2012,Nazmul Hossain,11.5,0.0,0.0,16.666666666666664,1.6528925619834711,0.0,2.516411378555799,0.0,1,1,1,1,1,4,1,1,11141,1
2009,Mehrab Hossain jnr,6.333333333333332,0.0,0.0,33.33333333333333,5.247813411078718,0.0,4.556354916067146,5.0,2,2,1,1,1,1,2,2,22112,4
2009,AJ Redmond,7.666666666666668,9.0,11.5,8.333333333333332,1.3564431047475507,2.469135802469136,1.4339152119700749,2.127659574468085,1,1,2,1,1,3,2,1,11232,2
2009,M Pushpakumara,9.0,18.0,27.0,7.6923076923076925,1.1450381679389312,1.1235955056179776,1.4255543822597676,0.8928571428571428,1,1,1,3,3,4,1,1,11141,1
2010,Shafiul Islam,6.857142857142858,28.0,32.0,100.0,18.918918918918923,20.0,16.842105263157894,33.33333333333333,4,4,4,4,4,2,4,4,44424,8
2011,Shafiul Islam,5.045454545454546,14.666666666666664,12.333333333333336,100.0,17.599999999999994,20.0,15.22633744855967,33.33333333333333,4,4,4,2,2,1,4,4,44414,8
2012,Shafiul Islam,8.047058823529412,42.5,57.0,66.66666666666666,11.707988980716252,6.0606060606060606,12.472647702407002,17.391304347826086,3,3,2,4,4,3,4,3,33234,6
2013,Shafiul Islam,6.6976744186046515,10.75,12.0,50.0,8.565737051792826,16.666666666666664,7.418856259659969,5.263157894736842,2,2,4,1,2,2,2,3,22422,4
2017,Shafiul Islam,14.769230769230768,0.0,0.0,14.285714285714285,1.5700483091787443,0.0,2.6890756302521006,2.0,1,1,1,1,1,4,2,1,11142,1
2019,Shafiul Islam,8.127272727272727,13.75,18.625,71.42857142857143,13.285024154589374,19.51219512195122,14.737883283877347,4.25531914893617,3,4,4,2,2,3,2,3,34432,7
2020,Shafiul Islam,6.28125,16.0,16.75,75.0,13.763440860215054,17.391304347826086,12.665406427221171,33.33333333333333,3,3,4,2,2,1,4,4,33414,6
2010,Aftab Ahmed,24.0,0.0,0.0,33.33333333333333,0.6756756756756757,0.0,2.1052631578947367,0.0,2,1,1,1,1,4,1,1,21141,3
2010,DLS van Bunge,7.0,12.0,14.0,33.33333333333333,3.278688524590164,4.3478260869565215,3.4653465346534658,0.0,2,1,2,2,2,2,1,1,21221,3
2013,DLS van Bunge,9.0,0.0,0.0,22.222222222222218,0.7590132827324478,0.0,1.1406844106463878,0.0,1,1,1,1,1,4,1,1,11141,1
2010,HS Baidwan,5.222222222222221,54.0,47.0,100.0,16.463414634146346,10.0,12.771739130434785,30.0,4,3,3,4,4,1,4,4,43314,8
2012,HS Baidwan,7.764705882352941,17.0,22.0,100.0,19.630484988452658,25.0,21.0727969348659,18.75,4,4,4,2,3,3,4,4,44434,8
2013,HS Baidwan,7.035971223021583,9.928571428571429,11.642857142857142,77.7777777777778,12.78748850045998,23.33333333333333,14.260717410323709,21.25,3,4,4,1,2,2,4,3,34424,7
2010,Khurram Chohan,8.863636363636363,22.0,32.5,100.0,13.414634146341465,20.0,17.66304347826087,25.0,4,4,4,3,4,4,4,4,44444,8
2010,U Bhatti,6.972972972972973,37.0,43.0,100.0,11.280487804878051,10.0,11.684782608695652,10.0,4,3,3,4,4,2,3,3,43323,8
2010,S Dhaniram,5.606557377049182,30.5,28.5,100.0,18.597560975609763,20.0,15.489130434782608,10.0,4,4,4,4,3,1,3,4,44413,8
2010,JM Davison,6.8108108108108105,18.5,21.0,66.66666666666666,11.280487804878051,20.0,11.41304347826087,5.0,3,3,4,3,3,2,2,3,33422,6
2010,H Patel,6.857142857142858,24.5,28.0,100.0,14.9390243902439,20.0,15.217391304347828,10.0,4,4,4,4,3,2,3,4,44423,8
2012,H Patel,6.0,0.0,0.0,25.0,2.07852193995381,0.0,1.7241379310344829,15.625,1,1,1,1,1,1,4,1,11114,1
2013,H Patel,6.652173913043478,15.333333333333336,17.0,44.444444444444436,8.463661453541857,10.0,8.923884514435695,7.5,2,3,3,2,2,2,3,3,23323,5
2015,H Patel,6.9230769230769225,78.0,90.0,100.0,18.097447795823665,7.142857142857142,15.734265734265735,17.391304347826086,4,4,3,4,4,2,4,4,44324,8
